 
Ack ack
Assignemnts Assignments
Asssigns Assigns
Bottlneck Bottleneck
Catagory Category
Collpase Collapse
Combute Compute
Consruct Construct
Constucts Constructs
Contaier Container
Conver Convert
Corect Correct
Cosntructor Constructor
Creat Create
Defult Default
Developor Developer
Dieing Dying
Dilema Dilemma
Eelevance Relevance
Exprected Expected
Faulure Failure
Goup Group
Hamiltonion Hamiltonian
Hexidecimal Hexadecimal
Idenify Identify
Javscript Javascript
Lot's Lots
Malcala mancala
Manacala Mancala
Mimicks Mimics
Mimimal Minimal
Minumum Minimum
Misspellling Misspelling
Novelity Novelty
Poped Popped
Prefixs Prefixes
Recalcuates Recalculates
Removeing Removing
Retrive Retrieve
Seemlessly Seamlessly
Staticly Statically
Stirng String
Substract Subtract
Tepmplate Template
\a @a
\b @b
abcdf test
abcdg abcde
accesing accessing
accissibly accessible
accomodate accommodate
accute acute
adavance advance
agregate aggregate
aleady already
algoritms algorithms
alocated allocated
anser answer
appropiately appropriately
arguent argument
assignement assignment
assingment assignment
assoiated associated
aweful awful
backets brackets
becuase because
beggininning beginning
begining beginning
bit's bit
bitvectors BitVectors
boolean Boolean
bounderies boundaries
bowser browser
cachce cache
caclulated calculated
calculateion calculation
calues values
cammand command
carrys carries
cartesian Cartesian
cartesion caption
catagory category
charater character
chartacters characters
clase class
clss css_class
cnt count
collapsable collapsible
collaspse collapse
collissions collisions
comilation compilation
comman command
comple compile
comsume consume
concatinate concatenate
consistant consistent
contexprs constexprs
contnet content
corresponing corresponding
coveage coverage
critera criteria
criterium criterion
debbing debugging
decriments decrements
delimeter delimiter
delimeters delimiters
deliminator delimiter
desginated designated
destory destroy
destructable destructible
dieing dying
discrimanatory discriminatory
disposible disposable
dissapear disappear
documention documentation
documntation documentation
dont don't
empirical's Empirical's
english English
enmasse all
enscripten emscripten
entires entries
exectuted executed
existance existence
existant existent
expaned expanded
experession expression
failede failed
failue failure
felids fields
filnames filenames
fo for
formate format
functins functions
functon function
graphts graphs
halp help
hamiltonian Hamiltonian
hasing hashing
heiarchy hierarchy
heigh height
illeagal illegal
implementaions implementations
incude include
inded index
indicies indices
indo info
infomation information
inititalize initialize
ino into
insterted inserted
intead instead
intepolates interpolates
interator iterator
interchangable interchangeable
iterm items
iteslf itself
javascript Javascript
latin Latin
layed laid
lenght length
listerns internal
managable manageable
manipulatation manipulation
matric matrix
maxumum maximum
mnimium minimum
moadal modal
mulitple multiple
multile multiple
namespaceinternal namespace
nunmber number
occurances occurrences
occured occurred
occuring occurring
onlay only
oranism organism
ordred ordered
orignal original
othello Othello
ouput output
overriden overridden
paramter parameter
pointes pointers
poninter pointer
popoulation population
popuilation population
possibile possible
postfix suffix
postion position
postive positive
preceeding preceding
previouly previously
probabilistically probabilistically
probabilty probability
probailties probabilities
properities properties
propery properly
ptinting printing
puctuation punctuation
referece reference
referrent referent
relevent relevant
requsting requesting
reseting resetting
retirn return
retriving retrieving
rthe the
sepcify specify
sinle single
specifed specified
specifid specified
stirng string
stringname string
structed structured
stuct struct
substituion substitution
sudoku Sudoku
surpress suppress
swtich switch
tempalted templated
termianted terminated
tha the
thie this
ths this
tigger trigger
tokinization tokenization
tooltup tooltip
tratis traits
typepack TypePack
tyring trying
uniquness uniqueness
uniquq unique
unnammed unnamed
unqiue unique
unsused unused
upgregulated upregulated
velocites velocities
verison version
vertics vertices
visable visible
wheter whether
wil will
