update, shannon_diversity, max_fitness, avg_fitness
0, 4.4433, 217.367, 207.074
10, 5.32509, 228.024, 220.678
20, 4.75912, 236.84, 233.889
30, 5.03675, 243.409, 239.633
40, 5.00752, 250.397, 247.86
50, 5.30293, 253.633, 250.152
60, 5.00435, 255.316, 252.75
70, 4.5343, 258.367, 256.263
80, 4.99908, 259.372, 256.828
90, 5.18321, 261.928, 258.132
100, 4.73418, 263.504, 261.426
110, 4.84251, 266.511, 262.995
120, 5.18563, 267.691, 263.546
130, 4.84263, 269.672, 266.64
140, 4.94664, 270.786, 267.922
150, 4.90502, 273.685, 269.509
160, 4.57612, 274.361, 271.025
170, 4.8406, 276.005, 273.563
180, 4.82698, 277.01, 274.585
190, 4.48476, 277.053, 274.156
200, 4.85679, 277.334, 274.595
210, 5.17868, 277.977, 275.42
220, 4.89173, 278.3, 274.779
230, 4.94131, 279.591, 275.396
240, 4.62875, 279.959, 277.478
250, 5.02047, 280.522, 277.679
260, 4.85155, 280.141, 276.768
270, 5.08039, 281.415, 276.465
280, 4.27116, 282.468, 278.416
290, 4.75205, 283.222, 278.956
300, 4.74946, 283.358, 280.36
310, 4.22981, 284.086, 281.083
320, 4.52323, 284.541, 282.01
330, 5.04781, 284.794, 280.59
340, 5.05627, 284.887, 281.753
350, 4.65974, 284.865, 282.196
360, 4.57248, 285.008, 282.745
370, 4.55458, 285.189, 282.473
380, 4.57799, 285.245, 282.417
390, 4.95039, 285.347, 282.765
400, 5.01199, 285.964, 283.168
410, 4.81392, 286.064, 283.458
420, 5.09522, 286.688, 282.561
430, 4.78936, 286.376, 283.781
440, 4.98398, 286.746, 282.584
450, 4.5931, 287.019, 283.414
460, 4.57914, 286.76, 282.862
470, 4.89965, 287.486, 283.955
480, 4.99044, 286.995, 283.134
490, 4.67203, 287.379, 283.576
500, 4.76563, 288.149, 284.459
510, 4.68459, 288.683, 285.612
520, 4.93254, 287.786, 284.411
530, 5.04763, 287.877, 285.602
540, 4.63045, 288.776, 285.904
550, 4.49641, 288.76, 285.989
560, 5.09478, 288.904, 285.229
570, 4.63516, 289.567, 285.92
580, 4.78748, 289.231, 285.592
590, 4.74807, 289.242, 286.58
600, 5.04205, 289.715, 286.198
610, 4.50479, 290.535, 286.241
620, 4.95885, 291.967, 288.501
630, 5.06549, 292.154, 287.481
640, 4.76676, 291.758, 288.199
650, 4.23679, 291.362, 287.192
660, 4.63592, 290.937, 288.357
670, 4.85905, 291.34, 287.898
680, 4.61446, 291.364, 287.822
690, 4.78783, 290.666, 287.629
700, 4.66779, 290.212, 286.548
710, 5.00862, 289.934, 285.13
720, 4.91366, 289.478, 284.932
730, 5.03414, 290.665, 284.51
740, 4.71124, 291.518, 285.831
750, 4.97595, 291.907, 288.727
760, 4.8012, 291.784, 287.406
770, 4.77176, 291.353, 288.914
780, 4.86482, 291.273, 287.814
790, 5.01047, 291.802, 286.946
800, 4.86763, 291.335, 287.171
810, 5.0587, 291.416, 288.207
820, 5.03599, 291.431, 287.625
830, 4.80754, 292.046, 288.043
840, 4.96779, 291.568, 288.236
850, 5.03284, 291.322, 287.656
860, 4.90883, 291.601, 287.998
870, 4.91585, 291.433, 287.397
880, 4.7615, 291.071, 288.049
890, 4.8879, 291.165, 286.898
900, 5.01618, 291.139, 287.608
910, 4.9695, 291.156, 287.127
920, 4.9228, 290.495, 287.198
930, 4.87637, 290.891, 287.483
940, 4.7576, 290.521, 287.38
950, 4.96881, 291.571, 285.867
960, 4.64559, 290.871, 287.299
970, 4.38215, 290.665, 286.608
980, 4.80888, 290.275, 286.684
990, 4.76505, 289.982, 287.25
1000, 4.81011, 290.501, 287.179
1010, 4.75062, 291.325, 288.632
1020, 4.77494, 291.407, 288.133
1030, 4.71711, 292.138, 289.285
1040, 4.95073, 292.003, 289.065
1050, 5.09507, 291.454, 288.924
1060, 4.8242, 291.852, 288.077
1070, 4.27996, 292.493, 289.88
1080, 4.97847, 293.176, 289.877
1090, 4.70586, 292.715, 289.01
1100, 4.81788, 293.283, 288.997
1110, 5.08929, 292.3, 289.985
1120, 4.78161, 292.115, 289.728
1130, 4.98005, 291.718, 287.646
