update, shannon_diversity, max_fitness, avg_fitness
0, 5.48964, 221.339, 207.899
10, 5.47789, 236.402, 233.479
20, 5.49314, 245.592, 243.727
30, 5.29188, 254.956, 252.857
40, 5.33952, 261.689, 259.954
50, 5.03912, 268.959, 266.448
60, 5.01705, 273.434, 271.327
70, 5.0335, 276.581, 274.914
80, 4.6625, 278.913, 277.086
90, 4.70263, 279.757, 278.294
100, 4.45858, 281.757, 280.495
110, 3.78648, 282.765, 281.49
120, 5.47275, 283.901, 282.262
130, 4.62974, 284.318, 283.198
140, 5.19427, 284.724, 283.33
150, 4.61238, 285.03, 283.855
160, 4.40298, 285.711, 284.42
170, 4.37924, 286.408, 284.974
180, 4.30197, 286.885, 285.57
190, 4.61535, 288.722, 286.986
200, 4.35937, 289.395, 287.862
210, 4.30925, 290.133, 288.969
220, 4.21439, 291.397, 289.666
230, 4.80828, 291.777, 290.631
240, 4.69088, 292.287, 290.64
250, 4.30607, 292.493, 291.304
260, 4.01846, 293.46, 291.964
270, 3.47354, 293.617, 292.403
280, 4.16158, 293.773, 292.585
290, 4.53077, 294.093, 292.796
300, 4.52458, 294.349, 292.927
310, 3.68582, 294.403, 293.3
320, 3.95144, 294.439, 293.148
330, 3.49555, 294.617, 293.411
340, 4.12762, 294.622, 293.412
350, 4.19143, 294.622, 293.236
360, 4.81052, 294.622, 293.263
370, 3.37072, 294.622, 293.542
380, 3.30428, 294.622, 293.348
390, 5.0706, 294.622, 293.273
400, 3.34217, 294.622, 293.479
410, 3.33421, 294.622, 293.286
420, 3.83001, 294.622, 293.339
430, 3.61343, 294.622, 293.491
440, 3.86269, 294.622, 293.332
450, 3.61291, 294.622, 293.369
460, 4.33085, 294.622, 293.296
470, 3.62913, 294.88, 293.397
480, 4.46865, 294.88, 293.568
490, 4.4233, 294.891, 293.44
500, 4.12719, 294.891, 293.765
510, 3.15604, 294.891, 293.671
520, 3.83836, 294.891, 293.761
530, 4.38788, 294.891, 293.267
540, 3.46932, 294.891, 293.704
550, 4.06541, 294.891, 293.676
560, 3.24551, 294.891, 293.675
570, 4.15265, 294.891, 293.514
580, 3.50189, 294.891, 293.811
590, 2.94942, 294.891, 293.852
600, 3.84375, 294.891, 293.997
610, 3.78363, 294.891, 293.654
620, 3.48384, 294.891, 293.621
630, 4.26785, 294.891, 293.225
640, 3.06161, 294.891, 293.492
650, 3.52994, 294.891, 293.601
660, 4.45246, 294.891, 293.47
670, 3.57546, 294.891, 293.37
680, 4.05063, 294.891, 293.352
690, 3.90695, 294.891, 293.556
700, 3.72495, 294.891, 293.714
710, 3.26614, 294.891, 293.777
720, 3.32074, 294.891, 293.786
730, 3.95394, 294.891, 293.566
740, 4.13977, 295.434, 293.949
750, 4.16562, 295.434, 294.172
760, 4.3481, 295.434, 294.188
770, 4.45453, 295.434, 294.128
780, 3.31591, 295.434, 294.238
790, 3.84031, 295.434, 294.152
800, 4.15356, 295.434, 294.125
810, 4.17672, 295.371, 294.082
820, 4.05025, 295.434, 293.918
830, 3.61202, 295.371, 294.295
840, 3.98179, 295.396, 294.161
850, 4.91442, 295.434, 294.032
860, 4.01754, 295.434, 294.031
870, 3.21624, 295.434, 294.264
880, 3.7983, 295.434, 293.866
890, 3.78155, 295.434, 294.203
900, 3.06784, 295.434, 294.099
910, 3.69155, 295.434, 294.179
920, 4.12624, 295.434, 294.144
930, 2.80438, 295.434, 294.485
940, 4.87481, 295.434, 293.964
950, 3.88058, 296.237, 295.151
960, 3.40595, 296.237, 295.022
970, 3.65533, 296.237, 294.948
980, 4.28941, 296.237, 294.823
990, 4.03042, 296.237, 294.851
1000, 4.57858, 296.237, 294.693
1010, 3.45665, 296.237, 294.884
1020, 4.73323, 296.237, 294.719
1030, 3.49046, 296.237, 295.013
1040, 3.64025, 296.237, 294.97
1050, 3.70054, 296.237, 294.855
1060, 3.08386, 296.237, 294.978
1070, 3.06161, 296.237, 294.936
1080, 3.14364, 296.237, 295.183
1090, 3.31879, 296.237, 295.048
1100, 4.07059, 296.237, 294.879
1110, 3.61392, 296.237, 295.043
1120, 4.47666, 296.237, 294.941
1130, 3.81269, 296.237, 294.894
