update, shannon_diversity, max_fitness, avg_fitness, non_inf
0, 4.74568, 208.1, 201.938, 0.97039
10, 5.19334, 216.41, 214.075, 0.989209
20, 5.19146, 223.549, 221.012, 0.988655
30, 4.95176, 228.499, 226.764, 0.992408
40, 4.87766, 233.089, 231.435, 0.992902
50, 4.88307, 238.858, 236.664, 0.990814
60, 5.14439, 243.262, 241.427, 0.992458
70, 5.08794, 246.386, 244.547, 0.992535
80, 4.95079, 249.59, 247.686, 0.992369
90, 5.28362, 251.655, 249.654, 0.992048
100, 5.03934, 254.005, 252.703, 0.994875
110, 4.90066, 256.361, 254.334, 0.992091
120, 4.9876, 258.084, 256.019, 0.991999
130, 5.05364, 259.252, 257.268, 0.992348
140, 4.98193, 259.757, 258.562, 0.995402
150, 4.80489, 260.849, 259.633, 0.99534
160, 4.74621, 261.524, 260.649, 0.996654
170, 5.03305, 262.276, 260.918, 0.994821
180, 4.97625, 263.166, 261.765, 0.994679
190, 4.99869, 263.25, 262.015, 0.995308
200, 5.04789, 264.338, 262.799, 0.994177
210, 5.043, 264.866, 263.785, 0.995919
220, 4.60998, 265.04, 264.045, 0.996247
230, 4.87005, 265.234, 263.929, 0.99508
240, 4.94794, 265.245, 263.964, 0.995171
250, 4.79041, 265.23, 263.897, 0.994971
260, 4.8145, 265.237, 263.994, 0.995315
270, 4.83376, 265.332, 264.229, 0.995844
280, 4.52131, 265.646, 264.487, 0.995637
290, 4.84268, 265.721, 264.796, 0.996516
300, 4.95199, 265.981, 264.645, 0.994974
310, 4.76108, 266.035, 264.374, 0.993756
320, 4.70998, 266.61, 265.181, 0.994643
330, 4.75004, 266.586, 265.683, 0.996614
340, 4.5338, 266.693, 265.521, 0.995605
350, 4.78864, 266.743, 265.784, 0.996405
360, 4.27874, 266.908, 265.64, 0.99525
370, 5.12659, 266.681, 265.534, 0.995699
380, 4.8877, 266.778, 265.706, 0.995982
390, 4.00193, 266.831, 265.986, 0.996834
400, 4.72537, 266.635, 265.931, 0.997361
410, 4.77599, 266.691, 264.978, 0.993576
420, 4.42476, 266.827, 265.149, 0.99371
430, 4.34601, 266.75, 265.971, 0.99708
440, 5.03515, 266.925, 265.48, 0.994585
450, 4.83154, 266.792, 265.371, 0.994674
460, 5.14489, 266.764, 265.636, 0.995772
470, 4.97702, 266.698, 265.518, 0.995575
480, 4.59992, 266.843, 266.078, 0.997132
490, 4.52279, 266.789, 265.546, 0.995344
500, 5.12379, 266.678, 265.596, 0.995942
510, 4.96815, 266.867, 265.456, 0.994711
520, 4.8746, 266.938, 265.303, 0.993876
530, 4.62167, 267.003, 266.102, 0.996623
540, 5.03011, 267.025, 265.567, 0.994542
550, 5.16241, 267.083, 265.83, 0.995309
560, 4.80183, 267.141, 265.663, 0.994468
570, 5.28888, 267.242, 265.444, 0.99327
580, 4.90134, 267.193, 266.241, 0.996435
590, 5.02249, 267.12, 266.249, 0.996741
600, 4.91437, 267.174, 266.133, 0.996104
610, 4.92988, 267.043, 265.986, 0.996042
620, 5.05672, 267.161, 265.837, 0.995046
630, 4.87852, 266.916, 265.559, 0.994917
640, 4.95751, 267.16, 265.695, 0.994516
650, 4.88992, 267.297, 266.342, 0.996429
660, 4.72125, 267.051, 266.17, 0.996703
670, 5.07185, 266.969, 265.513, 0.994545
680, 4.78921, 266.696, 266.009, 0.997423
690, 4.93622, 266.648, 265.397, 0.995308
700, 4.89867, 266.676, 265.078, 0.994008
710, 5.07327, 266.535, 265.163, 0.994852
720, 4.5902, 266.57, 265.478, 0.995902
730, 4.84016, 266.848, 265.986, 0.996768
740, 4.85782, 266.779, 265.369, 0.994715
750, 4.92173, 266.777, 265.574, 0.995489
760, 4.90495, 267.092, 266.117, 0.99635
770, 4.63606, 266.947, 265.441, 0.994358
780, 4.58736, 266.942, 265.86, 0.995946
790, 4.62414, 267.032, 266.309, 0.997292
800, 4.9274, 266.808, 265.583, 0.995409
810, 4.51097, 266.916, 265.404, 0.994336
820, 5.10598, 267.072, 265.877, 0.995526
830, 4.98618, 267.032, 265.339, 0.993662
840, 4.98977, 266.942, 265.662, 0.995206
850, 4.83283, 266.784, 266.009, 0.997095
860, 4.73441, 266.825, 265.081, 0.993464
870, 4.89627, 266.627, 265.668, 0.996403
880, 5.09357, 266.641, 264.903, 0.993485
890, 5.16524, 266.738, 265.602, 0.995739
900, 4.98254, 266.676, 265.241, 0.994618
910, 5.16154, 266.592, 265.212, 0.994825
920, 4.8284, 266.508, 264.972, 0.994236
930, 5.01101, 266.391, 265.01, 0.994817
940, 4.88451, 266.466, 264.946, 0.994295
950, 5.01167, 266.529, 265.38, 0.995688
960, 5.13824, 266.526, 265.323, 0.995485
970, 4.48085, 266.499, 265.369, 0.99576
980, 4.38537, 266.656, 265.673, 0.996315
990, 4.67553, 266.477, 265.532, 0.996454
