update, shannon_diversity, max_fitness, avg_fitness
0, 5.24268, 207.588, 203.489
10, 5.40444, 217.529, 216.467
20, 5.47, 225.276, 224.287
30, 5.39069, 233.079, 232.031
40, 5.14893, 239.858, 239.002
50, 5.42092, 244.741, 243.812
60, 5.39369, 249.629, 248.798
70, 4.90695, 252.324, 251.716
80, 5.26945, 254.374, 253.785
90, 5.1138, 256.908, 256.209
100, 5.09819, 258.439, 257.864
110, 5.07213, 259.649, 259.015
120, 4.76675, 260.318, 259.753
130, 4.94443, 261.275, 260.564
140, 4.92305, 261.626, 261.203
150, 5.20145, 262.215, 261.787
160, 5.22169, 262.793, 262.135
170, 4.68377, 263.117, 262.694
180, 3.91827, 263.386, 262.987
190, 4.46601, 263.573, 263.06
200, 5.0243, 263.642, 263.22
210, 4.89451, 263.74, 263.318
220, 4.71911, 263.808, 263.329
230, 4.52913, 263.889, 263.5
240, 5.17655, 263.907, 263.455
250, 4.74915, 263.927, 263.488
260, 3.99871, 263.935, 263.522
270, 4.03416, 263.973, 263.55
280, 4.07769, 263.973, 263.506
290, 4.45029, 263.973, 263.572
300, 3.79824, 263.991, 263.588
310, 3.51805, 263.992, 263.615
320, 4.65237, 263.992, 263.557
330, 4.14956, 264.004, 263.628
340, 3.91894, 264.013, 263.65
350, 3.5626, 264.013, 263.714
360, 4.4486, 264.013, 263.52
370, 3.48287, 264.013, 263.624
380, 3.71441, 264.013, 263.578
390, 3.7083, 264.013, 263.626
400, 4.04371, 264.013, 263.617
410, 3.76974, 264.013, 263.57
420, 3.47258, 264.013, 263.634
430, 4.87614, 264.013, 263.501
440, 4.06815, 264.013, 263.597
450, 3.67291, 264.013, 263.573
460, 4.94916, 264.013, 263.614
470, 3.48337, 264.013, 263.632
480, 3.40417, 264.013, 263.633
490, 4.17099, 264.013, 263.629
500, 2.66242, 264.013, 263.628
510, 3.66408, 264.013, 263.599
520, 3.36547, 264.013, 263.669
530, 3.57411, 264.013, 263.665
540, 3.09552, 264.013, 263.71
550, 4.0678, 264.013, 263.669
560, 4.47251, 264.013, 263.561
570, 3.94051, 264.013, 263.635
580, 3.47981, 264.013, 263.62
590, 3.90627, 264.013, 263.58
600, 3.31857, 264.013, 263.63
610, 3.81512, 264.013, 263.604
620, 4.54993, 264.013, 263.536
630, 3.31879, 264.013, 263.664
640, 4.49071, 264.013, 263.592
650, 4.54763, 264.013, 263.6
660, 4.18412, 264.013, 263.592
670, 4.47792, 264.013, 263.51
680, 3.33233, 264.013, 263.619
690, 4.52798, 264.013, 263.521
700, 4.74835, 263.987, 263.512
710, 3.22024, 263.987, 263.531
720, 4.34294, 263.996, 263.64
730, 4.68112, 264.013, 263.594
740, 3.87034, 264.013, 263.616
750, 3.72114, 264.013, 263.665
760, 3.15842, 264.013, 263.631
770, 3.91943, 264.013, 263.655
780, 3.91891, 264.013, 263.684
790, 3.70387, 264.013, 263.709
800, 4.21961, 264.013, 263.657
810, 3.85623, 264.013, 263.593
820, 3.50833, 264.013, 263.673
830, 4.0722, 264.013, 263.671
840, 3.52818, 264.013, 263.601
850, 3.63057, 264.013, 263.719
860, 3.99866, 264.013, 263.621
870, 3.20421, 264.013, 263.683
880, 3.92976, 264.013, 263.632
890, 3.85188, 264.013, 263.663
900, 3.11464, 264.013, 263.654
910, 3.91768, 264.013, 263.503
920, 4.32707, 264.013, 263.628
930, 4.01163, 264.013, 263.659
940, 3.11257, 264.013, 263.62
950, 3.77156, 264.013, 263.647
960, 3.50145, 264.013, 263.648
970, 3.59779, 264.013, 263.616
980, 3.16892, 264.013, 263.574
990, 4.42014, 264.013, 263.62
