update, shannon_diversity, max_fitness, avg_fitness
0, 4.54315, 213.095, 208.394
10, 4.77734, 222.061, 219.833
20, 5.05376, 228.664, 225.702
30, 5.05392, 235.688, 233.547
40, 4.97649, 241.073, 239.289
50, 5.00264, 246.602, 243.368
60, 4.6678, 251.038, 248.652
70, 5.04291, 254.892, 252.204
80, 5.13185, 258.502, 256.166
90, 4.79537, 259.829, 258.517
100, 5.04087, 261.007, 259.372
110, 4.66198, 262.014, 260.486
120, 5.13866, 263.601, 261.743
130, 4.83134, 264.193, 263.128
140, 4.93215, 265.069, 264.011
150, 4.94979, 266.01, 264.543
160, 4.78338, 266.98, 265.883
170, 5.16911, 268.27, 266.593
180, 5.10067, 269.023, 267.527
190, 5.10923, 269.978, 268.485
200, 5.07889, 270.362, 268.837
210, 4.83022, 270.923, 269.652
220, 4.87553, 271.625, 270.163
230, 4.78372, 271.827, 270.801
240, 5.14521, 272.22, 271.034
250, 4.88119, 272.676, 271.631
260, 4.75032, 272.846, 271.249
270, 4.8655, 273.137, 271.89
280, 4.84603, 273.447, 272.028
290, 5.46728, 273.468, 272.014
300, 4.46917, 273.336, 272.237
310, 5.03576, 273.122, 271.877
320, 4.56026, 273.362, 272.034
330, 4.56157, 273.297, 272.593
340, 4.6745, 273.498, 272.113
350, 4.17745, 273.466, 272.327
360, 4.83677, 273.644, 272.788
370, 4.77814, 273.778, 271.949
380, 4.82174, 274.044, 272.9
390, 4.58143, 273.951, 273.037
400, 4.81727, 274.256, 272.66
410, 4.66254, 274.104, 273.084
420, 4.83908, 273.899, 272.408
430, 4.66816, 273.912, 273.128
440, 5.20472, 273.844, 272.546
450, 4.7889, 273.884, 273.053
460, 4.96516, 273.967, 272.756
470, 4.69785, 274.019, 272.871
480, 4.69659, 274.186, 272.776
490, 5.0289, 274.098, 273.056
500, 4.61468, 274.34, 273.021
510, 4.92291, 274.199, 273.297
520, 4.45768, 274.307, 273.397
530, 4.65192, 274.202, 273.069
540, 4.82786, 274.182, 273.257
550, 5.08087, 274.302, 273.03
560, 4.6871, 274.358, 273.206
570, 4.55268, 274.459, 273.559
580, 5.03824, 274.498, 273.077
590, 4.66723, 274.544, 273.473
600, 5.10289, 274.567, 273.195
610, 5.00912, 274.643, 272.916
620, 5.18641, 274.718, 273.398
630, 4.29707, 274.5, 273.202
640, 5.1876, 274.48, 272.446
650, 4.31527, 274.48, 273.358
660, 4.94972, 274.553, 273.575
670, 5.1195, 274.547, 273.497
680, 4.58664, 274.439, 273.28
690, 4.76258, 274.128, 273.027
700, 4.92353, 274.174, 273.181
710, 4.406, 274.245, 273.322
720, 4.98729, 273.954, 272.853
730, 5.16712, 274.139, 272.633
740, 4.76355, 273.998, 272.649
750, 4.79904, 274.074, 273.137
760, 5.123, 274.045, 272.281
770, 5.19822, 274.062, 273.007
780, 5.01821, 274.051, 272.288
790, 5.00256, 274.106, 272.65
800, 4.8714, 274.029, 272.538
810, 4.81462, 274.062, 273.147
820, 5.16942, 274.1, 273.089
830, 4.82022, 273.997, 272.838
840, 4.87905, 273.869, 272.939
850, 4.96273, 273.902, 272.607
860, 5.10392, 273.66, 272.051
870, 5.06031, 273.682, 272.123
880, 4.6753, 273.931, 272.711
890, 4.16171, 274.181, 272.956
900, 5.10406, 274.069, 272.571
910, 4.49965, 274.006, 272.875
920, 5.20876, 273.941, 272.731
930, 4.85801, 273.929, 272.318
940, 4.71182, 274.014, 272.828
950, 4.9166, 274.217, 272.536
960, 4.91747, 274.021, 272.95
970, 4.67009, 274.042, 273.045
980, 4.9538, 274.354, 273.102
990, 4.70583, 274.442, 273.231
