update, shannon_diversity, max_fitness, avg_fitness
0, 5.48856, 211.454, 203.943
10, 5.36059, 221.94, 220.7
20, 5.344, 231.236, 229.805
30, 5.38354, 237.234, 236.034
40, 4.93532, 242.296, 241.336
50, 5.18468, 247.174, 245.926
60, 5.01171, 250.561, 249.815
70, 5.057, 253.78, 253.033
80, 4.47362, 256.413, 255.692
90, 4.8253, 258.53, 257.775
100, 5.20044, 259.976, 259.13
110, 4.67453, 261.199, 260.571
120, 3.80834, 262.245, 261.644
130, 5.00514, 262.838, 262.216
140, 4.50088, 263.221, 262.756
150, 5.31805, 263.991, 263.363
160, 4.88105, 264.359, 263.834
170, 4.72235, 264.67, 264.184
180, 4.27732, 264.916, 264.44
190, 4.56496, 265.238, 264.758
200, 4.5577, 265.533, 265.039
210, 5.32522, 265.614, 265.032
220, 4.79667, 265.641, 265.116
230, 4.71928, 265.774, 265.319
240, 4.59454, 265.843, 265.343
250, 4.72453, 265.874, 265.383
260, 3.65494, 265.937, 265.575
270, 3.8752, 266.119, 265.672
280, 4.94798, 266.142, 265.734
290, 3.53123, 266.174, 265.796
300, 3.70033, 266.205, 265.765
310, 3.4461, 266.205, 265.828
320, 4.13467, 266.209, 265.741
330, 3.42962, 266.209, 265.804
340, 4.1455, 266.209, 265.823
350, 3.81428, 266.209, 265.897
360, 4.26166, 266.209, 265.73
370, 4.0189, 266.209, 265.769
380, 3.45389, 266.209, 265.796
390, 4.14403, 266.209, 265.75
400, 4.06404, 266.209, 265.81
410, 3.30765, 266.209, 265.905
420, 3.44972, 266.209, 265.749
430, 3.54668, 266.209, 265.795
440, 4.21087, 266.209, 265.867
450, 3.1444, 266.209, 265.804
460, 3.44741, 266.209, 265.876
470, 4.11991, 266.209, 265.791
480, 3.62437, 266.209, 265.749
490, 4.59608, 266.209, 265.799
500, 4.43997, 266.209, 265.801
510, 3.79457, 266.209, 265.676
520, 4.89798, 266.209, 265.66
530, 3.71096, 266.209, 265.822
540, 3.9735, 266.209, 265.779
550, 3.96504, 266.209, 265.8
560, 3.06094, 266.209, 265.862
570, 3.65991, 266.209, 265.838
580, 3.34856, 266.209, 265.774
590, 4.5219, 266.209, 265.733
600, 3.44872, 266.209, 265.777
610, 3.47189, 266.209, 265.824
620, 3.41585, 266.209, 265.764
630, 4.09374, 266.209, 265.716
640, 3.83316, 266.209, 265.839
650, 3.64722, 266.209, 265.786
660, 3.65031, 266.209, 265.767
670, 4.03938, 266.209, 265.807
680, 3.67025, 266.209, 265.801
690, 4.35938, 266.209, 265.781
700, 4.0996, 266.209, 265.837
710, 3.52188, 266.209, 265.812
720, 4.13395, 266.209, 265.759
730, 3.84407, 266.209, 265.83
740, 3.65142, 266.209, 265.777
750, 3.89117, 266.209, 265.785
760, 3.72075, 266.209, 265.839
770, 3.85127, 266.209, 265.811
780, 3.63191, 266.209, 265.806
790, 4.13636, 266.209, 265.827
800, 4.35486, 266.209, 265.772
810, 4.26732, 266.209, 265.793
820, 3.6879, 266.209, 265.797
830, 4.24933, 266.209, 265.876
840, 3.82984, 266.209, 265.813
850, 3.95857, 266.195, 265.749
860, 4.21451, 266.209, 265.744
870, 3.36302, 266.209, 265.816
880, 3.76332, 266.209, 265.734
890, 3.33611, 266.209, 265.821
900, 3.82931, 266.209, 265.87
910, 4.63576, 266.209, 265.769
920, 3.71765, 266.209, 265.838
930, 3.06203, 266.209, 265.849
940, 3.75573, 266.209, 265.765
950, 4.55744, 266.209, 265.756
960, 4.37237, 266.209, 265.769
970, 4.01153, 266.209, 265.694
980, 3.60636, 266.209, 265.809
990, 4.07051, 266.209, 265.812
