update, shannon_diversity, max_fitness, avg_fitness
0, 4.67502, 209.51, 204.262
10, 5.20063, 216.29, 214.619
20, 5.17914, 222.774, 220.602
30, 5.13071, 229.293, 226.754
40, 4.83011, 234.517, 231.98
50, 4.79379, 238.386, 236.524
60, 5.09534, 243.239, 240.212
70, 4.77685, 248.025, 245.653
80, 5.16881, 250.256, 248.551
90, 4.78723, 252.975, 251.679
100, 5.33392, 254.753, 253.096
110, 4.80595, 255.569, 254.425
120, 4.98677, 257.005, 255.525
130, 5.07461, 258.578, 256.922
140, 5.0471, 258.625, 257.411
150, 5.03585, 259.337, 258.272
160, 4.71782, 259.829, 258.249
170, 4.42657, 260.222, 259.27
180, 4.69788, 260.418, 259.606
190, 4.70294, 260.922, 260.081
200, 4.95392, 261.466, 260.284
210, 4.91893, 262.093, 260.33
220, 4.77237, 262.471, 261.332
230, 4.88215, 263.021, 261.772
240, 4.57285, 263.17, 261.762
250, 4.77679, 263.402, 262.2
260, 4.58034, 263.468, 262.593
270, 4.62282, 263.705, 262.686
280, 5.05977, 263.937, 262.863
290, 4.86579, 263.973, 262.518
300, 4.77548, 264.069, 263.308
310, 4.59635, 264.179, 263.139
320, 4.92247, 264.077, 263.069
330, 4.6304, 264.276, 263.374
340, 4.94665, 264.151, 262.609
350, 5.07538, 264.198, 262.96
360, 5.05639, 264.195, 262.333
370, 5.04868, 264.375, 263.58
380, 4.99338, 264.455, 263.404
390, 4.94721, 264.679, 263.335
400, 4.54907, 264.679, 263.749
410, 4.95261, 264.823, 263.733
420, 5.08946, 265.006, 263.174
430, 4.6407, 265.004, 264.027
440, 4.97127, 265.235, 263.956
450, 4.49049, 265.219, 264.405
460, 4.78912, 265.207, 263.956
470, 4.91645, 265.236, 264.062
480, 5.01215, 265.172, 264.044
490, 4.89705, 265.316, 263.811
500, 4.74255, 265.435, 264.291
510, 4.88583, 265.354, 264.275
520, 4.87925, 265.383, 264.33
530, 4.93701, 265.342, 264.207
540, 4.77287, 265.098, 264.009
550, 4.77808, 265.083, 264.145
560, 4.36143, 265.22, 264.276
570, 5.1184, 265.274, 263.841
580, 4.4694, 265.238, 263.779
590, 4.94145, 265.296, 264.24
600, 4.53889, 265.179, 264.185
610, 4.5105, 265.298, 264.033
620, 4.9331, 265.393, 264.211
630, 4.85384, 265.317, 264.223
640, 4.76624, 265.282, 263.581
650, 4.80786, 265.407, 264.348
660, 4.86307, 265.26, 264.081
670, 5.02293, 265.314, 264.004
680, 4.47945, 265.048, 263.585
690, 5.23599, 265.006, 263.774
700, 4.59659, 265.005, 263.81
710, 4.76954, 265.056, 264.107
720, 4.90254, 264.959, 263.969
730, 4.74459, 264.967, 263.436
740, 5.02968, 265.022, 263.866
750, 4.99605, 265.022, 263.787
760, 4.67046, 264.993, 263.751
770, 4.93715, 264.965, 263.232
780, 4.99726, 264.799, 263.872
790, 4.62302, 264.647, 263.709
800, 4.94505, 264.658, 263.701
810, 5.02082, 264.763, 263.437
820, 4.6715, 264.334, 262.912
830, 4.80607, 264.506, 263.466
840, 4.9765, 264.717, 263.172
850, 4.95337, 265.024, 264.137
860, 4.52, 264.877, 263.967
870, 5.17211, 264.932, 263.207
880, 5.13464, 264.814, 263.208
890, 4.12054, 264.915, 263.86
900, 4.56752, 265.054, 264.167
910, 4.94097, 265.103, 263.971
920, 5.1945, 265.202, 263.684
930, 4.97727, 265.203, 264.075
940, 4.16126, 265.17, 264.32
950, 4.96216, 265.194, 264.215
960, 4.82567, 265.456, 264.526
970, 4.86789, 265.484, 264.668
980, 4.32454, 265.474, 264.501
990, 4.87044, 265.491, 264.283
