update, shannon_diversity, max_fitness, avg_fitness
0, 4.49712, 219.514, 208.124
10, 4.6142, 230.626, 226.422
20, 4.54812, 240.467, 235.35
30, 4.81775, 246.758, 244.107
40, 4.98498, 251.85, 247.801
50, 4.6578, 256.909, 253.853
60, 4.49085, 259.316, 256.759
70, 5.16241, 261.873, 258.248
80, 4.93057, 263.028, 260.401
90, 5.00267, 264.785, 261.266
100, 5.05512, 267.013, 263.987
110, 4.61541, 268.472, 265.113
120, 4.98796, 269.524, 266.577
130, 5.20805, 271.03, 267.159
140, 4.75672, 272.659, 270.266
150, 4.50216, 272.532, 269.814
160, 4.89185, 273.845, 269.827
170, 4.89441, 274.792, 270.756
180, 5.04932, 275.38, 272.936
190, 4.85747, 275.915, 273.174
200, 4.81985, 277.414, 273.909
210, 4.84352, 279.104, 275.47
220, 4.75169, 279.893, 276.732
230, 4.89016, 281.025, 277.587
240, 5.01701, 281.863, 277.719
250, 4.82844, 283.054, 279.245
260, 4.58414, 282.571, 280.496
270, 4.95076, 283.05, 280.486
280, 5.18069, 282.884, 278.605
290, 4.82026, 282.874, 279.842
300, 4.93159, 282.174, 278.601
310, 4.68108, 283.112, 278.612
320, 4.71596, 283.733, 279.172
330, 4.95495, 283.652, 280.014
340, 5.21905, 283.224, 280.178
350, 5.1876, 282.807, 279.752
360, 4.80822, 282.793, 279.836
370, 4.66817, 282.322, 279.883
380, 4.53271, 282.899, 280.633
390, 4.79927, 283.242, 280.061
400, 4.95947, 283.328, 279.971
410, 5.15966, 283.348, 278.276
420, 4.59827, 282.303, 278.827
430, 4.90426, 283.263, 279.227
440, 4.85403, 283.049, 279.147
450, 4.69759, 282.858, 279.692
460, 4.90205, 283.387, 279.572
470, 5.21422, 283.311, 280.088
480, 4.82241, 283.794, 280.304
490, 5.13617, 284.547, 280.831
500, 4.97043, 284.217, 280.482
510, 4.61856, 284.544, 280.096
520, 5.04652, 285.131, 280.686
530, 4.99169, 286.117, 281.812
540, 4.73599, 285.846, 282.433
550, 5.09515, 286.341, 282.336
560, 5.18304, 286.715, 282.833
570, 5.07486, 285.982, 283.174
580, 4.99028, 286.077, 283.284
590, 5.06951, 287.599, 282.283
600, 4.8039, 288.168, 283.515
610, 4.68421, 288.255, 283.965
620, 4.95599, 288.899, 284.39
630, 4.32745, 288.812, 285.118
640, 4.53002, 288.453, 284.924
650, 4.90537, 288.606, 284.617
660, 4.82137, 288.362, 285.646
670, 4.85092, 288.007, 284.358
680, 5.03657, 287.822, 284.701
690, 4.96705, 287.993, 283.396
700, 5.1984, 287.618, 283.95
710, 4.721, 288.484, 285.612
720, 5.1746, 286.815, 281.879
730, 4.62922, 286.607, 284.565
740, 4.78852, 288.612, 283.487
750, 4.84462, 288.119, 284.274
760, 4.74272, 289.63, 285.773
770, 4.69436, 290.397, 286.767
780, 4.87768, 290.501, 287.352
790, 5.11322, 290.34, 286.771
800, 4.27207, 289.913, 286.561
810, 3.87661, 290.888, 288.504
820, 5.07062, 290.982, 287.65
830, 4.98012, 291.213, 288.307
840, 4.97627, 291.096, 287.994
850, 4.52738, 290.736, 287.002
860, 5.29534, 291.13, 288.037
870, 4.9394, 292.352, 289.078
880, 5.08291, 291.664, 288.179
890, 4.76707, 291.714, 288.367
900, 4.44531, 291.685, 288.836
910, 4.61669, 291.898, 288.277
920, 4.53905, 292.204, 288.826
930, 4.67181, 293.009, 289.04
940, 4.60521, 292.886, 289.588
950, 4.93882, 293.339, 289.188
960, 4.76386, 292.316, 288.898
970, 5.14521, 292.317, 287.501
980, 4.81379, 291.286, 288.209
990, 5.15551, 292.536, 289.145
1000, 4.5422, 292.312, 288.546
1010, 4.99212, 293.351, 289.437
1020, 4.71741, 291.93, 288.302
1030, 4.709, 293.019, 290.032
1040, 4.61383, 293.155, 289.278
1050, 5.04118, 292.965, 289.418
1060, 4.82599, 292.876, 289.647
1070, 4.95645, 293.383, 289.254
1080, 4.65809, 293.234, 289.479
1090, 4.94722, 293.464, 290.366
1100, 4.4489, 293.668, 291.109
1110, 5.23355, 293.069, 289.312
1120, 4.7859, 292.88, 289.479
1130, 4.90673, 292.88, 289.282
1140, 5.0525, 292.88, 288.739
1150, 5.13386, 293.211, 288.973
1160, 4.66784, 293.848, 289.672
1170, 4.91027, 294.657, 291.292
1180, 4.80715, 294.797, 289.982
1190, 4.77037, 293.933, 290.323
1200, 4.90342, 294.161, 291.408
1210, 4.07379, 294.979, 291.942
1220, 4.71588, 294.723, 290.101
1230, 4.95639, 295.465, 292.487
1240, 4.73518, 295.833, 292.852
1250, 4.58846, 295.833, 291.149
1260, 5.01477, 295.183, 290.605
1270, 4.78946, 293.927, 290.425
1280, 4.31506, 294.861, 290.88
1290, 4.7331, 294.476, 291.139
1300, 5.24372, 294.43, 290.825
1310, 5.02414, 294.633, 289.927
1320, 4.57571, 294.026, 291.389
1330, 4.80518, 294.095, 290.094
1340, 4.37069, 292.764, 290.168
1350, 4.39585, 293.763, 291.1
1360, 4.73534, 292.984, 290.257
1370, 4.49867, 292.072, 290.07
1380, 4.80908, 292.806, 289.853
1390, 4.5212, 292.784, 289.645
1400, 4.88557, 292.887, 290.043
1410, 4.14152, 292.587, 289.78
1420, 4.51741, 292.842, 289.828
1430, 5.07798, 293.782, 288.71
1440, 4.66023, 294.06, 291.29
1450, 4.95751, 293.072, 288.504
1460, 5.03169, 293.58, 289.53
1470, 4.58871, 293.726, 291.122
1480, 4.20063, 293.954, 290.399
1490, 4.95573, 294.258, 290.286
1500, 4.72189, 294.144, 291.09
1510, 4.4535, 293.97, 292.227
1520, 5.16962, 293.558, 289.153
1530, 4.25049, 294.148, 290.669
1540, 3.64565, 293.94, 291.605
1550, 4.9156, 294.145, 291.412
1560, 3.9553, 294.947, 292.756
1570, 4.88013, 294.665, 292.31
1580, 4.08748, 294.472, 291.072
1590, 4.47882, 293.788, 289.802
1600, 4.94041, 293.261, 288.084
1610, 4.54146, 293.744, 290.803
1620, 4.59166, 293.965, 290.434
1630, 4.90317, 293.75, 290.867
1640, 4.4976, 293.943, 290.614
1650, 5.28881, 293.912, 289.162
1660, 4.70361, 293.282, 289.907
1670, 5.11901, 292.834, 288.354
1680, 4.98035, 292.339, 288.483
1690, 4.79695, 291.65, 288.754
1700, 4.82075, 292.218, 289.031
1710, 5.0006, 292.021, 287.839
1720, 4.94809, 292.512, 289.863
1730, 3.7451, 292.135, 289.136
1740, 4.93766, 292.662, 289.244
1750, 4.36641, 292.468, 289.781
1760, 5.0715, 292.175, 288.074
1770, 4.99003, 293.089, 288.853
1780, 5.09064, 293.393, 289.341
1790, 4.77851, 293.095, 289.749
1800, 5.07276, 291.91, 288.262
1810, 4.64059, 291.951, 286.915
1820, 5.09155, 291.829, 288.011
1830, 5.12841, 291.617, 287.806
1840, 4.95776, 292.064, 289.696
1850, 4.6666, 292.88, 290.134
1860, 4.9688, 292.878, 290.52
1870, 5.04698, 292.45, 290.165
1880, 4.07112, 292.791, 290.174
1890, 4.87747, 293.852, 290.117
1900, 4.5099, 293.357, 290.819
1910, 4.52894, 293.925, 290.989
1920, 4.72411, 293.668, 290.414
1930, 4.96712, 293.864, 290.487
1940, 4.69961, 295.055, 291.565
1950, 4.63766, 295.05, 291.967
1960, 4.81637, 295.337, 292.926
1970, 4.80677, 295.663, 292.187
1980, 4.93687, 296.231, 291.458
1990, 4.91814, 295.951, 292.672
2000, 4.59017, 296.467, 292
2010, 4.74346, 296.593, 292.241
2020, 4.77909, 296.388, 291.941
2030, 5.09974, 295.708, 293.018
2040, 5.06549, 295.364, 290.265
2050, 4.35514, 295.537, 291.591
2060, 5.01943, 295.813, 292.036
2070, 4.6461, 296.182, 293.494
2080, 4.43905, 296.351, 293.439
2090, 5.12958, 295.07, 292.165
2100, 4.8045, 294.078, 290.29
2110, 4.48331, 295.102, 290.243
2120, 4.94589, 295.041, 291.01
2130, 5.16273, 296.524, 291.971
2140, 5.11898, 296.129, 292.949
2150, 5.08182, 296.713, 292.118
2160, 4.94029, 297.796, 293.279
2170, 4.76463, 297.887, 295.927
2180, 4.76245, 297.483, 294.002
2190, 4.54876, 297.414, 293.635
2200, 4.40998, 297.263, 293.304
2210, 5.058, 296.808, 293.136
2220, 4.69585, 296.888, 293.623
2230, 4.6114, 296.62, 293.467
2240, 4.99918, 296.612, 293.281
2250, 4.77947, 296.315, 293.094
2260, 4.80384, 295.494, 289.789
2270, 4.70845, 295.121, 292.03
2280, 5.0237, 296.044, 292.334
2290, 4.86888, 296.649, 293.437
2300, 5.18439, 296.174, 290.81
2310, 4.79876, 296.839, 292.753
2320, 5.14362, 295.693, 292.67
2330, 4.62224, 294.615, 291.096
2340, 4.76233, 296.597, 293.202
2350, 4.88525, 296.364, 292.697
2360, 4.81477, 296.186, 293.182
2370, 4.8597, 296.867, 292.523
2380, 4.85729, 296.34, 293.515
2390, 4.97386, 296.904, 292.888
2400, 4.62025, 297.191, 292.672
2410, 5.17476, 296.917, 292.565
2420, 4.75582, 296.87, 293.158
2430, 5.27337, 297.559, 291.092
2440, 4.97322, 295.613, 291.135
2450, 4.87892, 295.947, 291.795
2460, 4.10634, 295.982, 293.975
2470, 4.74678, 296.505, 293.633
2480, 4.78698, 296.551, 293.08
2490, 4.75457, 296.071, 292.022
2500, 4.62653, 296.758, 293.975
2510, 4.81739, 296.5, 292.922
2520, 4.57498, 296.803, 293.884
2530, 5.19111, 296.527, 292.765
2540, 4.83179, 296.594, 292.66
2550, 5.10521, 295.438, 291.6
2560, 5.18093, 295.653, 291.281
2570, 4.77818, 295.284, 291.795
2580, 4.76333, 295.445, 291.873
2590, 4.5515, 295.781, 292.781
2600, 4.49492, 297.247, 292.909
2610, 4.50085, 297.089, 293.931
2620, 4.95578, 297.303, 294.392
2630, 4.85142, 297.381, 293.518
2640, 4.54455, 296.867, 293.506
2650, 4.60582, 296.867, 294.408
2660, 4.49262, 296.854, 292.894
2670, 4.82822, 296.854, 293.902
2680, 5.11076, 296.986, 292.854
2690, 4.85882, 296.778, 293.864
2700, 4.69618, 296.131, 292.866
2710, 4.82928, 296.475, 291.823
2720, 4.84498, 296.569, 291.498
2730, 4.87154, 296.14, 291.655
2740, 4.97622, 295.717, 291.732
2750, 4.55606, 296.265, 292.32
2760, 4.51622, 296.232, 293.393
2770, 5.06333, 295.011, 291.216
2780, 5.0946, 295.581, 290.527
2790, 4.82744, 294.658, 290.67
2800, 4.6597, 296.109, 292.3
2810, 4.00302, 297.467, 293.779
2820, 4.88233, 297.939, 293.633
2830, 4.59004, 297.071, 294.979
2840, 5.04877, 298.154, 292.626
2850, 4.82589, 298.005, 293.356
2860, 4.63281, 298.395, 295.264
2870, 4.7547, 297.407, 293.995
2880, 4.98949, 297.472, 292.685
2890, 4.57539, 297.38, 290.957
2900, 4.41398, 297.805, 292.836
2910, 4.79714, 297.496, 293.016
2920, 4.70156, 297.018, 292.529
2930, 4.17886, 296.828, 293.766
2940, 4.68108, 296.622, 294.397
2950, 4.81969, 296.609, 292.567
2960, 4.73982, 296.437, 291.165
2970, 4.7844, 296.535, 292.717
2980, 4.12616, 295.829, 292.385
2990, 4.96194, 295.75, 291.669
3000, 4.43231, 295.648, 292.548
3010, 5.10583, 294.483, 290.285
3020, 5.03253, 294.068, 291.085
3030, 4.7039, 292.404, 288.242
3040, 4.9854, 292.789, 288.415
3050, 4.76863, 293.116, 287.071
3060, 4.81453, 293.201, 290.906
3070, 4.86096, 293.893, 290.338
3080, 4.54687, 293.928, 289.749
3090, 4.98648, 294.104, 289.246
3100, 5.04356, 294.375, 292.073
3110, 5.16093, 294.802, 292.055
3120, 4.36671, 295.136, 292.195
3130, 4.62563, 294.717, 290.997
3140, 4.72198, 293.832, 290.435
3150, 4.89453, 294.19, 290.663
3160, 5.16254, 295.302, 290.897
3170, 5.37292, 294.156, 289.458
3180, 4.81276, 295.128, 291.204
3190, 4.56707, 295.548, 292.015
3200, 4.75185, 295.924, 292.406
3210, 4.85047, 295.488, 291.647
3220, 4.60667, 295.065, 289.627
3230, 3.65828, 294.975, 292.443
3240, 4.75085, 294.879, 290.231
3250, 4.90308, 295.057, 291.8
3260, 4.99167, 295.599, 291.239
3270, 4.92838, 295.676, 292.414
3280, 4.85798, 295.702, 292.116
3290, 4.89153, 295.953, 292.437
3300, 4.17056, 296.126, 292.866
3310, 4.77511, 296.524, 293.329
3320, 4.55908, 296.446, 292.642
3330, 4.28246, 298.118, 294.351
3340, 4.7327, 298.039, 295.336
3350, 4.69828, 298.804, 295.504
3360, 4.59621, 298.87, 293.68
3370, 4.62805, 298.863, 295.739
3380, 4.71578, 297.353, 294.344
3390, 5.21664, 297.047, 292.44
3400, 3.73755, 296.181, 292.666
3410, 4.8357, 295.856, 292.906
3420, 4.684, 293.894, 290.061
3430, 5.25434, 294.402, 290.538
3440, 4.88716, 293.637, 289.351
3450, 5.00466, 294.25, 290.23
3460, 4.7584, 294.989, 291.12
3470, 4.94805, 296.632, 292.973
3480, 4.95029, 295.583, 291.779
3490, 4.49085, 296.067, 293.211
3500, 4.88613, 296.521, 293.421
3510, 4.99023, 296.654, 293.75
3520, 4.75869, 296.586, 292.245
3530, 4.8655, 296.791, 293.58
3540, 4.67237, 297.158, 294.644
3550, 5.01982, 296.82, 293.07
3560, 5.03023, 296.456, 292.825
3570, 4.86247, 296.456, 294.345
3580, 4.79782, 294.913, 291.64
3590, 4.56093, 294.708, 292.521
3600, 4.95603, 295.686, 291.615
3610, 4.99447, 295.586, 291.006
3620, 4.9398, 295.586, 292.076
3630, 4.67599, 295.974, 293.663
3640, 4.99253, 295.971, 293.114
3650, 5.10521, 296.538, 292.362
3660, 5.21273, 296.055, 291.851
3670, 4.47092, 295.976, 293.348
3680, 5.03629, 296.668, 293.439
3690, 4.76805, 296.89, 294.369
3700, 4.82902, 295.994, 292.678
3710, 4.88315, 296.04, 292.244
3720, 4.98635, 295.628, 292.071
3730, 4.53058, 295.005, 291.29
3740, 5.22846, 295.02, 291.975
3750, 5.11866, 294.178, 290.523
3760, 4.5255, 294.888, 289.643
3770, 4.93288, 294.582, 291.255
3780, 4.59569, 294.688, 291.256
3790, 4.76583, 294.73, 291.884
3800, 4.919, 294.983, 291.994
3810, 4.35807, 294.738, 290.474
3820, 4.79292, 294.493, 291.438
3830, 4.79659, 294.963, 291.247
3840, 4.65861, 295.366, 292.52
3850, 4.40008, 295.445, 293.292
3860, 4.99969, 295.355, 291.749
3870, 4.68177, 294.601, 291.416
3880, 5.46533, 294.506, 289.191
3890, 4.69909, 294.148, 290.605
3900, 4.56634, 294.835, 290.463
3910, 4.7868, 294.304, 290.255
3920, 4.75569, 295.54, 291.381
3930, 4.56888, 295.848, 292.364
3940, 4.97055, 295.194, 290.62
3950, 4.85107, 295.297, 291.773
3960, 4.80518, 294.31, 291.695
3970, 4.82315, 294.512, 290.907
3980, 4.86391, 294.487, 290.271
3990, 5.16881, 295.504, 289.119
4000, 5.03824, 295.476, 289.473
4010, 4.85597, 295.668, 291.431
4020, 4.84905, 295.343, 291.849
4030, 5.31503, 296.219, 292.939
4040, 4.96889, 295.638, 291.642
4050, 5.02012, 295.107, 292.047
4060, 4.73808, 296.324, 292.843
4070, 4.9293, 296.25, 292.297
4080, 4.80913, 295.213, 291.624
4090, 5.11311, 295.442, 291.819
4100, 4.85062, 295.887, 289.847
4110, 4.75059, 294.801, 290.501
4120, 4.92663, 295.422, 292.773
4130, 5.07966, 295.789, 290.922
4140, 4.91413, 294.663, 290.922
4150, 5.22106, 294.075, 290.097
4160, 4.9086, 293.829, 289.847
4170, 5.03802, 293.523, 290
4180, 4.41438, 292.705, 289.303
4190, 4.67374, 292.698, 289.094
4200, 4.69506, 293.196, 288.559
4210, 4.88631, 294.056, 288.503
4220, 4.66272, 295.166, 292.045
4230, 4.94395, 294.752, 291.423
4240, 5.11441, 295.866, 290.952
4250, 4.87898, 295.693, 291.841
4260, 4.91509, 295.597, 290.358
4270, 4.87904, 295.054, 291.922
4280, 4.33925, 295.139, 292.737
4290, 4.75328, 294.995, 291.062
4300, 4.88621, 294.086, 290.433
4310, 4.91399, 294.058, 289.963
4320, 4.86583, 294.366, 291.58
4330, 5.04567, 294.594, 289.041
4340, 4.86411, 295.71, 292.048
4350, 5.15095, 295.042, 290.934
4360, 4.87604, 295.677, 292.092
4370, 4.83111, 295.231, 292.69
4380, 4.84777, 295.978, 292.835
4390, 5.0746, 295.215, 291.236
4400, 4.81127, 295.792, 292.368
4410, 4.67606, 296.629, 291.93
4420, 4.9528, 295.869, 290.918
4430, 4.85008, 294.989, 291.739
4440, 5.05046, 295.022, 291.776
4450, 4.83535, 294.59, 289.343
4460, 4.6222, 295.076, 291.074
4470, 4.91453, 295.746, 292.488
4480, 4.54541, 295.056, 292.197
4490, 5.20352, 295.455, 291.857
4500, 4.54015, 294.528, 292.206
4510, 4.88008, 294.78, 291.403
4520, 4.78731, 294.119, 289.897
4530, 4.9827, 293.916, 291.141
