update, shannon_diversity, max_fitness, avg_fitness
0, 5.54259, 221.14, 207.666
10, 5.57324, 239.078, 236.302
20, 5.43024, 250.771, 248.497
30, 5.03757, 257.49, 255.641
40, 5.0741, 264.124, 262.222
50, 4.9394, 267.35, 265.749
60, 5.08935, 272.24, 269.921
70, 5.19207, 274.704, 272.957
80, 5.1655, 276.949, 275.475
90, 4.74784, 279.003, 277.195
100, 4.23427, 280.283, 278.915
110, 5.13766, 281.719, 280.27
120, 4.33016, 283.27, 281.996
130, 4.92269, 285.187, 283.127
140, 5.05373, 285.988, 284.64
150, 3.86863, 287.325, 286.168
160, 4.95536, 287.772, 286.45
170, 4.63166, 288.157, 286.846
180, 3.63769, 288.342, 287.369
190, 4.86636, 288.99, 287.331
200, 4.33135, 289.522, 288.049
210, 4.42664, 289.694, 288.299
220, 4.1392, 289.981, 288.646
230, 3.84035, 290.012, 288.874
240, 3.91715, 290.012, 288.791
250, 3.90268, 290.012, 288.774
260, 3.06849, 290.012, 289.082
270, 3.53052, 290.012, 288.973
280, 4.54916, 290.012, 288.666
290, 4.07412, 290.012, 288.83
300, 3.96025, 290.028, 288.81
310, 3.61351, 290.028, 288.995
320, 3.2904, 290.028, 289.051
330, 4.54837, 290.193, 288.911
340, 4.89872, 290.332, 288.941
350, 4.9444, 290.489, 289.186
360, 4.19304, 290.489, 289.265
370, 4.204, 290.529, 289.77
380, 4.7851, 290.529, 289.276
390, 3.61596, 290.592, 289.301
400, 5.01848, 290.685, 289.2
410, 4.34615, 290.685, 289.453
420, 3.00696, 290.685, 289.571
430, 4.53035, 291.031, 289.542
440, 3.36881, 291.031, 289.828
450, 3.97376, 291.031, 289.967
460, 4.43445, 291.345, 289.946
470, 4.69432, 291.741, 290.294
480, 4.08211, 292.188, 290.771
490, 4.17763, 292.895, 291.711
500, 4.37766, 293.254, 291.85
510, 3.63341, 293.254, 292.065
520, 4.57607, 293.671, 292.204
530, 4.09709, 293.904, 292.913
540, 4.25601, 293.904, 292.845
550, 4.1446, 293.904, 292.663
560, 3.98843, 293.904, 292.663
570, 3.91586, 293.904, 292.668
580, 5.0189, 294.384, 292.922
590, 4.37237, 294.813, 293.522
600, 4.68718, 295.118, 293.778
610, 4.80402, 295.243, 293.788
620, 3.82663, 295.365, 293.941
630, 4.15841, 295.365, 293.971
640, 4.27622, 295.429, 294.394
650, 4.84876, 295.429, 294.029
660, 3.84207, 295.429, 293.991
670, 3.64752, 295.429, 294.444
680, 3.38318, 295.429, 294.167
690, 3.3504, 295.429, 294.144
700, 4.18824, 295.429, 293.735
710, 4.51448, 295.429, 293.898
720, 4.52382, 295.429, 293.914
730, 4.14432, 295.429, 294.254
740, 3.37863, 295.429, 294.379
750, 4.11378, 295.429, 294.076
760, 3.89695, 295.429, 294.035
770, 4.01029, 295.759, 294.196
780, 3.56927, 295.759, 294.557
790, 3.8141, 295.828, 294.455
800, 3.63993, 295.828, 294.688
810, 3.62337, 295.828, 294.547
820, 3.61415, 295.828, 294.52
830, 3.81535, 295.828, 294.441
840, 3.82662, 295.828, 294.585
850, 3.17227, 295.828, 294.697
860, 3.92881, 295.828, 294.476
870, 4.21072, 295.946, 294.404
880, 4.36622, 295.946, 294.508
890, 3.30856, 295.946, 294.768
900, 3.50145, 295.946, 294.75
910, 3.8278, 295.946, 294.573
920, 3.4898, 295.946, 294.733
930, 3.77891, 295.946, 294.616
940, 4.67697, 295.946, 294.268
950, 3.6901, 295.946, 294.701
960, 4.51612, 295.946, 294.474
970, 3.13227, 295.946, 294.642
980, 3.87513, 295.946, 294.633
990, 3.49113, 295.946, 294.72
1000, 3.38412, 295.946, 294.561
1010, 4.39471, 295.946, 294.738
1020, 3.72308, 295.946, 294.58
1030, 3.30591, 295.946, 294.61
1040, 2.91701, 295.946, 294.787
1050, 3.61533, 295.946, 294.751
1060, 3.56974, 295.946, 294.666
1070, 3.64669, 295.946, 294.547
1080, 4.63839, 295.946, 294.497
1090, 3.77623, 295.946, 294.632
1100, 3.75734, 295.946, 294.443
1110, 4.6872, 295.946, 294.65
1120, 4.96533, 295.946, 294.038
1130, 4.2584, 296.381, 294.851
1140, 3.76291, 296.445, 295.043
1150, 4.87881, 296.445, 294.713
1160, 4.53237, 296.445, 294.964
1170, 4.14393, 296.445, 295.248
1180, 3.29039, 296.445, 295.241
1190, 3.88467, 296.445, 295.059
1200, 3.29421, 296.445, 295.091
1210, 4.32265, 296.445, 294.899
1220, 2.80438, 296.445, 295.188
1230, 3.64971, 296.445, 294.921
1240, 3.43962, 296.445, 295.285
1250, 3.68962, 296.445, 295.108
1260, 3.82338, 296.445, 295.047
1270, 3.92598, 296.445, 294.927
1280, 5.28913, 296.445, 294.894
1290, 3.53546, 296.445, 294.98
1300, 4.09126, 296.445, 295.061
1310, 4.14464, 296.445, 294.98
1320, 2.88958, 296.445, 295.067
1330, 4.25879, 296.531, 295.408
1340, 3.26478, 296.531, 295.454
1350, 3.20024, 296.531, 295.257
1360, 3.07955, 296.531, 295.415
1370, 4.60783, 296.531, 295.211
1380, 4.59636, 296.531, 295.154
1390, 4.0444, 296.531, 295.354
1400, 3.5428, 296.531, 295.164
1410, 3.20421, 296.531, 295.277
1420, 3.63807, 296.531, 295.22
1430, 4.02777, 296.531, 295.034
1440, 3.14635, 296.822, 295.594
1450, 4.74067, 296.822, 295.34
1460, 3.16022, 296.822, 295.725
1470, 4.88812, 296.822, 295.154
1480, 3.81573, 296.822, 295.382
1490, 3.20218, 296.822, 295.902
1500, 3.22969, 296.822, 295.648
1510, 4.83675, 296.822, 295.364
1520, 3.28658, 296.822, 295.84
1530, 4.82469, 296.822, 295.275
1540, 4.14246, 296.758, 295.608
1550, 4.16398, 296.822, 295.534
1560, 4.09164, 296.822, 295.554
1570, 3.84403, 296.822, 295.602
1580, 3.8445, 296.822, 295.443
1590, 4.32057, 296.822, 295.679
1600, 5.24358, 296.655, 295.144
1610, 3.91344, 296.747, 295.426
1620, 2.97456, 296.747, 295.48
1630, 4.17333, 296.747, 295.574
1640, 4.04035, 296.822, 295.232
1650, 4.977, 296.822, 295.584
1660, 3.81278, 296.822, 295.57
1670, 4.86021, 296.822, 295.277
1680, 3.71337, 296.822, 295.503
1690, 3.57058, 296.822, 295.518
1700, 3.77039, 296.822, 295.499
1710, 3.90382, 296.822, 295.671
1720, 3.47462, 296.822, 295.572
1730, 3.82056, 296.822, 295.416
1740, 3.53767, 296.822, 295.675
1750, 3.96798, 296.822, 295.685
1760, 4.0747, 296.822, 295.331
1770, 3.34421, 296.822, 295.594
1780, 3.54868, 296.822, 295.697
1790, 3.25024, 296.822, 295.711
1800, 3.78262, 297.032, 295.707
1810, 3.84862, 297.621, 296.244
1820, 3.77409, 297.742, 296.479
1830, 3.21616, 297.742, 296.617
1840, 4.73521, 297.998, 296.275
1850, 4.8235, 298.177, 296.889
1860, 4.63435, 298.261, 296.789
1870, 3.79359, 298.261, 297.058
1880, 3.74762, 298.261, 297.121
1890, 3.56638, 298.261, 296.954
1900, 3.57944, 298.261, 296.978
1910, 3.16611, 298.261, 296.903
1920, 3.51714, 298.261, 296.685
1930, 4.12881, 298.261, 297.156
1940, 3.17144, 298.261, 297.037
1950, 3.26407, 298.261, 297.148
1960, 4.25776, 298.261, 296.775
1970, 3.99268, 298.261, 296.956
1980, 3.90586, 298.261, 297.029
1990, 3.82588, 298.244, 297.027
2000, 4.53862, 298.261, 296.757
2010, 4.46391, 298.261, 296.609
2020, 3.34146, 298.261, 297.112
2030, 4.13673, 298.261, 296.89
2040, 4.04475, 298.261, 296.985
2050, 4.26268, 298.261, 296.862
2060, 4.08905, 298.261, 296.74
2070, 4.12811, 298.261, 297.038
2080, 3.52714, 298.261, 297.089
2090, 3.14514, 298.261, 297.215
2100, 3.93143, 298.261, 296.862
2110, 3.35584, 298.261, 296.968
2120, 4.79538, 298.261, 297.127
2130, 4.64089, 298.261, 296.869
2140, 4.60098, 298.261, 296.73
2150, 4.15126, 298.261, 296.913
2160, 4.74492, 298.261, 296.612
2170, 3.09631, 298.261, 297.167
2180, 3.86963, 298.261, 297.251
2190, 3.79656, 298.261, 296.756
2200, 3.31818, 298.261, 296.838
2210, 4.49644, 298.261, 296.814
2220, 2.73793, 298.261, 297.22
2230, 3.72765, 298.261, 296.961
2240, 3.28785, 298.261, 297.032
2250, 4.12443, 298.261, 296.851
2260, 3.4039, 298.261, 297.258
2270, 4.08542, 298.261, 297.148
2280, 3.45127, 298.261, 296.993
2290, 3.07203, 298.261, 297.331
2300, 3.61205, 298.584, 297.443
2310, 4.11791, 298.584, 297.215
2320, 3.65867, 298.584, 297.462
2330, 3.94317, 298.584, 297.083
2340, 4.07469, 298.584, 297.211
2350, 4.04309, 298.584, 297.303
2360, 4.52249, 298.584, 297.313
2370, 4.80399, 298.584, 297.065
2380, 3.4816, 298.584, 297.415
2390, 4.49952, 298.584, 297.152
2400, 4.56236, 298.584, 297.23
2410, 4.77566, 298.584, 297.096
2420, 4.4051, 298.584, 297.069
2430, 3.47714, 298.584, 297.325
2440, 3.33665, 298.584, 297.601
2450, 3.27152, 298.584, 297.028
2460, 3.37146, 298.584, 297.392
2470, 3.25258, 298.584, 297.413
2480, 4.17411, 298.584, 297.457
2490, 3.21471, 298.584, 297.451
2500, 3.52714, 298.584, 297.205
2510, 3.43022, 298.584, 297.53
2520, 3.86065, 298.584, 297.404
2530, 4.41128, 298.584, 297.164
2540, 3.20817, 298.584, 297.21
2550, 4.97721, 298.584, 297.042
2560, 3.67975, 298.584, 297.427
2570, 4.604, 298.584, 297.221
2580, 3.61779, 298.584, 297.218
2590, 3.44394, 298.584, 297.327
2600, 3.24025, 298.584, 297.577
