update, shannon_diversity, max_fitness, avg_fitness
0, 4.74103, 207.606, 201.906
10, 4.74405, 223.192, 219.769
20, 5.08005, 235.059, 230.626
30, 4.83133, 242.7, 238.802
40, 4.82257, 249.689, 246.412
50, 5.1595, 255.183, 251.277
60, 5.05266, 258.594, 255.902
70, 4.46644, 262.407, 258.705
80, 5.31717, 265.269, 260.98
90, 5.01185, 267.253, 263.919
100, 4.96231, 269.615, 265.456
110, 5.05766, 270.793, 267.543
120, 4.53584, 272.104, 268.511
130, 5.03272, 273.837, 269.885
140, 4.69937, 275.18, 272.066
150, 4.95674, 276.566, 272.862
160, 4.67443, 276.834, 273.174
170, 4.84094, 278.087, 274.229
180, 4.81483, 278.476, 275.401
190, 4.35468, 280.225, 276.207
200, 4.32467, 281.16, 277.941
210, 4.72044, 281.878, 279.182
220, 4.88325, 282.054, 280.21
230, 5.17534, 282.052, 277.701
240, 4.87992, 283.147, 279.61
250, 4.56518, 283.641, 280.429
260, 4.53879, 283.111, 279.788
270, 4.80333, 282.07, 278.838
280, 4.78366, 281.985, 279.3
290, 4.91928, 282.675, 279.377
300, 4.66689, 283.828, 280.277
310, 4.21031, 284.172, 280.884
320, 4.60565, 284.721, 280.038
330, 4.91013, 286.139, 282.12
340, 4.73691, 286.111, 281.261
350, 4.76026, 286.366, 283.554
360, 4.85957, 286.175, 282.743
370, 4.94038, 286.326, 283.873
380, 4.60225, 286.813, 283.995
390, 5.07334, 286.921, 283.898
400, 4.31863, 287.702, 283.947
410, 4.80398, 288.001, 284.69
420, 4.84814, 287.855, 283.873
430, 4.6928, 289.613, 285.357
440, 5.11687, 290.237, 285.505
450, 4.75779, 291.013, 286.865
460, 4.79737, 291.879, 288.617
470, 5.18563, 291.162, 288.038
480, 4.91882, 289.994, 286.909
490, 5.25364, 290.221, 286.464
500, 5.06154, 289.961, 286.673
510, 4.73023, 290.349, 287.766
520, 4.82985, 290.047, 287.566
530, 4.73786, 289.857, 287.037
540, 4.66789, 289.509, 286.459
550, 5.01312, 289.874, 286.867
560, 4.89305, 290.53, 287.923
570, 4.60961, 290.613, 287.936
580, 4.90131, 291.684, 287.576
590, 4.74013, 291.217, 287.62
600, 4.91685, 292.119, 289.13
610, 4.98738, 292.274, 288.78
620, 5.00247, 291.859, 288.566
630, 4.70805, 291.071, 287.825
640, 5.1125, 291.075, 286.232
650, 4.80773, 290.533, 287.433
660, 4.35775, 291.138, 288.001
670, 4.94456, 290.426, 287.618
680, 4.84456, 290.944, 286.764
690, 4.87677, 291.161, 287.65
700, 4.70505, 290.309, 286.889
710, 4.70052, 290.257, 287.203
720, 4.7653, 289.242, 285.867
730, 4.37541, 288.82, 285.876
740, 4.95311, 288.904, 285.766
750, 4.88544, 289.482, 286.28
760, 4.86396, 289.596, 286.279
770, 5.13146, 289.843, 285.123
780, 4.95818, 290.553, 286.533
790, 4.68906, 290.736, 287.987
800, 5.11609, 290.859, 286.361
810, 4.59502, 290.633, 286.952
820, 4.80984, 290.43, 285.874
830, 4.99085, 291.265, 287.601
840, 4.77989, 291.475, 287.224
850, 5.12805, 291.731, 288.2
860, 4.59886, 291.064, 288.251
870, 4.56744, 291.997, 288.916
880, 4.86551, 291.113, 287.807
890, 4.68575, 291.673, 287.959
900, 4.50294, 291.627, 287.266
910, 5.14242, 292.162, 287.839
920, 4.96034, 292.065, 289.128
930, 5.03525, 291.557, 287.842
940, 5.16024, 290.972, 286.414
950, 5.03171, 290.949, 287.16
960, 4.80388, 290.954, 288.233
970, 4.51492, 292.213, 289.673
980, 5.29872, 292.45, 288.387
990, 4.6476, 292.269, 289.132
1000, 5.04696, 292.386, 289.743
1010, 4.90231, 291.818, 287.913
1020, 4.62959, 291.577, 288.249
1030, 4.87934, 291.249, 286.878
1040, 4.61516, 291.051, 287.561
1050, 4.78664, 291.404, 287.903
1060, 5.09627, 292.715, 289.646
1070, 5.02205, 292.806, 289.03
1080, 5.01108, 292.559, 289.356
1090, 4.6936, 292.946, 290.172
1100, 5.02885, 292.01, 288.941
1110, 5.08188, 292.851, 288.331
1120, 4.65848, 292.828, 289.486
1130, 4.36202, 293.084, 289.563
1140, 5.01294, 293.285, 290
1150, 4.77347, 292.049, 287.896
1160, 4.71408, 292.143, 289.123
1170, 4.56864, 292.72, 289.098
1180, 4.64243, 292.266, 289.224
