update, shannon_diversity, max_fitness, avg_fitness
0, 5.48075, 221.262, 209.582
10, 5.38946, 233.456, 231.413
20, 5.31874, 242.77, 240.81
30, 5.12342, 250.477, 248.518
40, 5.25128, 257.535, 255.621
50, 4.75323, 261.896, 260.606
60, 4.86604, 267.343, 265.675
70, 5.40718, 270.985, 269.065
80, 5.00277, 272.838, 271.445
90, 4.64243, 275.358, 274.213
100, 4.95237, 277.796, 276.504
110, 4.84018, 279.076, 277.753
120, 4.7712, 280.452, 279.083
130, 4.23955, 281.614, 280.305
140, 4.31221, 282.426, 281.307
150, 4.91569, 283.379, 281.954
160, 3.77688, 284.219, 282.899
170, 4.48985, 284.601, 283.323
180, 4.33523, 285.608, 284.289
190, 3.74056, 285.867, 284.842
200, 4.40704, 287.521, 286.161
210, 4.15002, 287.693, 286.278
220, 3.43889, 288.171, 287.145
230, 4.81012, 288.171, 286.952
240, 4.56209, 288.171, 287.016
250, 4.22213, 288.32, 286.971
260, 3.9349, 288.585, 287.341
270, 4.36072, 289.012, 287.711
280, 4.24136, 289.012, 287.878
290, 3.96505, 289.434, 288.34
300, 3.71842, 289.434, 288.284
310, 4.10811, 289.434, 288.236
320, 3.634, 289.455, 288.406
330, 3.74273, 289.455, 288.335
340, 3.51546, 289.455, 288.255
350, 4.5187, 289.455, 288.12
360, 3.19716, 289.455, 288.444
370, 4.18595, 289.455, 288.231
380, 4.02045, 289.584, 288.224
390, 4.35995, 289.584, 288.252
400, 3.82061, 289.778, 288.561
410, 3.48664, 289.778, 288.637
420, 4.89615, 289.872, 288.45
430, 3.79615, 289.872, 288.653
440, 4.64777, 289.888, 288.437
450, 3.72849, 289.888, 288.68
460, 4.51722, 290.671, 289.202
470, 4.08762, 291.462, 289.971
480, 3.59301, 291.52, 290.23
490, 3.84073, 291.567, 290.312
500, 4.29633, 291.675, 290.491
510, 3.6488, 291.675, 290.468
520, 4.33462, 291.814, 290.551
530, 3.85506, 291.814, 290.695
540, 3.67603, 291.89, 290.712
550, 3.81765, 291.89, 290.488
560, 4.60247, 291.89, 290.686
570, 3.9254, 291.89, 290.726
580, 4.18007, 291.89, 290.673
590, 4.20553, 292.043, 290.507
600, 3.57477, 291.89, 290.855
610, 3.65249, 291.89, 290.605
620, 4.54058, 291.89, 290.371
